,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
121,Perfect,"Ed Sheeran",940706,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
122,"Bohemian Rhapsody - Remastered 2011",Queen,940688,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
123,CLOUDS,NF,938670,https://open.spotify.com/track/5UMMPHPp6vRP6ghPpSUOzp
124,"Break My Heart","Dua Lipa",929105,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
125,"Say You Won't Let Go","James Arthur",926645,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,"Life Is Good (feat. Drake)",Future,923260,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
127,"Jocelyn Flores",XXXTENTACION,916722,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
128,Falling,"Trevor Daniel",912798,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
129,"Ponte Pa' Mi","Justin Quiles",911333,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
130,Madonna,Bausa,906706,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
131,"Parce (feat. Justin Quiles)",Maluma,906491,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
132,"Take Me To Church",Hozier,903816,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
133,Tusa,"KAROL G",903191,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
134,"All Girls Are The Same","Juice WRLD",901202,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
135,911,Sech,900258,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
136,"Ride It",Regard,899556,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
137,Starboy,"The Weeknd",898526,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
138,"Train Wreck","James Arthur",896512,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
139,"Daddy Issues","The Neighbourhood",896261,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
140,"Coração Na Cama","Hugo & Guilherme",896221,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
141,"Love Not War (The Tampa Beat)","Jason Derulo",895747,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
142,Antes,"Anuel AA",895472,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
143,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",894524,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
144,"Come & Go (with Marshmello)","Juice WRLD",887885,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
145,"Every Breath You Take","The Police",887531,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
146,"7 rings","Ariana Grande",886360,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
147,"Why'd You Only Call Me When You're High?","Arctic Monkeys",884171,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
148,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,882885,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
149,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",876650,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
150,"SICKO MODE","Travis Scott",870499,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
151,"Do I Wanna Know?","Arctic Monkeys",865173,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
152,"All of Me","John Legend",862989,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
153,"Put Your Records On","Ritt Momney",861065,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
154,"Mood Swings (feat. Lil Tjay)","Pop Smoke",858344,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
155,Jeans,"Justin Quiles",849905,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
156,"my ex's best friend (with blackbear)","Machine Gun Kelly",848723,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
157,SAD!,XXXTENTACION,846865,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
158,"Stuck with U (with Justin Bieber)","Ariana Grande",843038,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
159,"Martin & Gina","Polo G",841656,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
160,"POPSTAR (feat. Drake)","DJ Khaled",834596,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
161,"Rain On Me (with Ariana Grande)","Lady Gaga",833576,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
162,"Godzilla (feat. Juice WRLD)",Eminem,832190,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
163,"Take on Me",a-ha,831119,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
164,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",820688,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
165,"If the World Was Ending - feat. Julia Michaels","JP Saxe",817900,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
166,"I Feel It Coming","The Weeknd",808093,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
167,"SO DONE","The Kid LAROI",804173,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
168,"Smells Like Teen Spirit",Nirvana,800939,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
169,Despeinada,Ozuna,800761,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
170,"Billie Jean","Michael Jackson",800146,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
171,"Tattoo - Remix with Camilo","Rauw Alejandro",799079,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
172,"Recairei - Ao Vivo","Os Barões Da Pisadinha",798948,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
173,Skin,"Sabrina Carpenter",796009,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
174,"BOOKER T","Bad Bunny",793411,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
175,Falling,"Harry Styles",791573,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
176,"Lance Individual","Jorge & Mateus",791431,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
177,ROXANNE,"Arizona Zervas",790511,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
178,Wonder,"Shawn Mendes",789596,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
179,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,785655,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
180,Hayloft,"Mother Mother",783093,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
181,"Agua de Jamaica",Maluma,778898,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
182,"Just the Way You Are","Bruno Mars",767094,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
183,Body,"Megan Thee Stallion",766159,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
184,"Lifestyle (feat. Adam Levine)","Jason Derulo",765393,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
185,SugarCrash!,ElyOtto,762900,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
186,Closer,"The Chainsmokers",762826,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
187,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",762144,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
188,"Hawái - Remix",Maluma,760078,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
189,"Toosie Slide",Drake,759161,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
190,"Fly Away","Tones And I",758875,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
191,Yellow,Coldplay,753609,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
192,"Wonderwall - Remastered",Oasis,753299,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
193,"Ay, DiOs Mío!","KAROL G",752746,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
194,Hope,XXXTENTACION,751272,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
195,"Tyler Herro","Jack Harlow",751083,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
196,"Say So","Doja Cat",750848,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
197,"Mr. Brightside","The Killers",748635,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
198,"I Don't Care (with Justin Bieber)","Ed Sheeran",743626,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
199,"Jerusalema (feat. Nomcebo Zikode)","Master KG",740694,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
200,"Counting Stars",OneRepublic,739863,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
